Систематски список на општини и населени места во Република Македонија,,,,,
според Законот за територијална организација на локалната самоуправа (Службен весник на Република Македонија бр. 55/04 и 12/05),,,,,
,,,,Состојба на податоците: 01.01.2009,
1066,Битола,400289,Братин Дол,с,
1066,Битола,400327,Брусник,с,
1066,Битола,400351,Буково,с,
1066,Битола,400386,Велушина,с,
1066,Битола,400408,Габалавци,с,
1066,Битола,400459,Гопеш,с,
1066,Битола,400475,Горно Егри,с,
1066,Битола,400483,Горно Оризари,с,
1066,Битола,400513,Граешница,с,
1066,Битола,400564,Дихово,с,
1066,Битола,400629,Доленци,с,
1066,Битола,400645,Долно Егри,с,
1066,Битола,400661,Долно Оризари,с,
1066,Битола,400696,Драгарино,с,
1066,Битола,400700,Драгожани,с,
1066,Битола,400718,Драгош,с,
1066,Битола,400726,Древеник,с,
1066,Битола,400734,Ѓавато,с,
1066,Битола,400742,Жабени,с,
1066,Битола,400777,Злокуќани,с,
1066,Битола,400815,Кажани,с,
1066,Битола,400823,Канино,с,
1066,Битола,400831,Карамани,с,
1066,Битола,400840,Кишава,с,
1066,Битола,400858,Кравари,с,
1066,Битола,400866,Кременица,с,
1066,Битола,400874,Крклино,с,
1066,Битола,400882,Крстоар,с,
1066,Битола,400904,Кукуречани,с,
1066,Битола,400912,Лавци,с,
1066,Битола,400939,Лажец,с,
1066,Битола,400947,Лера,с,
1066,Битола,400955,Лисолај,с,
1066,Битола,400963,Логоварди,с,
1066,Битола,400980,Лопатица,с,
1066,Битола,400998,Магарево,с,
1066,Битола,401013,Маловиште,с,
1066,Битола,401030,Метимир,с,
1066,Битола,401048,Меџитлија,с,
1066,Битола,401099,Нижеполе,с,
1066,Битола,401129,Ново Змирново,с,
1066,Битола,401161,Облаково,с,
1066,Битола,401170,Олевени,с,
1066,Битола,401188,Оптичари,с,
1066,Битола,401196,Орехово,с,
1066,Битола,401218,Острец,с,
1066,Битола,401242,Поешево,с,
1066,Битола,401277,Породин,с,
1066,Битола,401307,Рамна,с,
1066,Битола,401323,Раштани,с,
1066,Битола,401340,Ротино,с,
1066,Битола,401366,Свиниште,с,
1066,Битола,401374,Секирани,с,
1066,Битола,401412,Снегово,с,
1066,Битола,401447,Средно Егри,с,
1066,Битола,401455,Српци,с,
1066,Битола,401471,Старо Змирново,с,
1066,Битола,401480,Стрежево,с,
1066,Битола,401528,Трн,с,
1066,Битола,401536,Трново,с,
1066,Битола,401552,Цапари,с,
1066,Битола,401587,Црнобуки,с,
1066,Битола,401595,Црновец,с,
1082,Богданци,402672,Богданци,г,
1082,Богданци,402753,Ѓавато,с,
1082,Богданци,402931,Селемли,с,
1082,Богданци,402982,Стојаково,с,
1104,Боговиње,416509,Боговиње,с,
1104,Боговиње,416657,Горно Палчиште,с,
1104,Боговиње,416665,Горно Седларце,с,
1104,Боговиње,416720,Долно Палчиште,с,
1104,Боговиње,416762,Жеровјане,с,
1104,Боговиње,416843,Јеловјане,с,
1104,Боговиње,416860,Камењане,с,
1104,Боговиње,417009,Новаќе,с,
1104,Боговиње,417017,Ново Село,с,
1104,Боговиње,417084,Пирок,с,
1104,Боговиње,417165,Раковец,с,
1104,Боговиње,417246,Селце Кеч,с,
1104,Боговиње,417262,Синичане,с,
1104,Боговиње,417394,Урвич,с,
1139,Босилово,415723,Бориево,с,
1139,Босилово,415740,Босилово,с,
1139,Босилово,415847,Гечерлија,с,
1139,Босилово,415928,Дрвош,с,
1139,Босилово,415944,Еднокуќево,с,
1139,Босилово,415995,Иловица,с,
1139,Босилово,416088,Моноспитово,с,
1139,Босилово,416169,Петралинци,с,
1139,Босилово,416223,Радово,с,
1139,Босилово,416240,Робово,с,
1139,Босилово,416266,Сарај,с,
1139,Босилово,416312,Секирник,с,
1139,Босилово,416347,Старо Балдовци,с,
1139,Босилово,416428,Турново,с,
1139,Босилово,416436,Хамзали,с,
1139,Босилово,416479,Штука,с,
1147,Брвеница,416495,Блаце,с,
1147,Брвеница,416525,Брвеница,с,
1147,Брвеница,416584,Волковија,с,
1147,Брвеница,416681,Гургурница,с,
1147,Брвеница,416738,Долно Седларце,с,
1147,Брвеница,416975,Милетино,с,
1147,Брвеница,417157,Радиовце,с,
1147,Брвеница,417327,Стенче,с,
1147,Брвеница,417351,Теново,с,
1147,Брвеница,417424,Челопек,с,
1155,Валандово,402184,Ајранли,с,
1155,Валандово,402192,Аразли,с,
1155,Валандово,402206,Бајрамбос,с,
1155,Валандово,402214,Балинци,с,
1155,Валандово,402222,Баракли,с,
1155,Валандово,402249,Башали,с,
1155,Валандово,402257,Башибос,с,
1155,Валандово,402265,Брајковци,с,
1155,Валандово,402273,Булунтули,с,
1155,Валандово,402281,Валандово,г,
1155,Валандово,402290,Вејсели,с,
1155,Валандово,402303,Градец,с,
1155,Валандово,402311,Грчиште,с,
1155,Валандово,402320,Дедели,с,
1155,Валандово,402338,Ѓулели,с,
1155,Валандово,402346,Јосифово,с,
1155,Валандово,402354,Казандол,с,
1155,Валандово,402362,Кочули,с,
1155,Валандово,402389,Марвинци,с,
1155,Валандово,402397,Пирава,с,
1155,Валандово,402419,Плавуш,с,
1155,Валандово,402427,Прстен,с,
1155,Валандово,402435,Раброво,с,
1155,Валандово,402443,Собри,с,
1155,Валандово,402451,Татарли,с,
1155,Валандово,402460,Терзели,с,
1155,Валандово,402478,Удово,с,
1155,Валандово,402486,Чалакли,с,
1155,Валандово,402494,Честево,с,
1163,Василево,415642,Ангелци,с,
1163,Василево,415758,Варварица,с,
1163,Василево,415766,Василево,с,
1163,Василево,415782,Висока Маала,с,
1163,Василево,415804,Владиевци,с,
1163,Василево,415855,Градошорци,с,
1163,Василево,415898,Доброшинци,с,
1163,Василево,415936,Дукатино,с,
1163,Василево,415952,Едрениково,с,
1163,Василево,416045,Кушкулија,с,
1163,Василево,416100,Нивичино,с,
1163,Василево,416118,Нова Маала,с,
1163,Василево,416177,Пиперево,с,
1163,Василево,416215,Радичево,с,
1163,Василево,416304,Седларци,с,
1163,Василево,416380,Сушево,с,
1163,Василево,416401,Требичино,с,
1163,Василево,416444,Чанаклија,с,
1171,Вевчани,415138,Вевчани,с,
1180,Велес,417505,Башино Село,с,
1180,Велес,417513,Белештевица,с,
1180,Велес,417548,Бузалково,с,
1180,Велес,418382,Велес,г,
1180,Велес,417564,Ветерско,с,
1180,Велес,417688,Горно Каласлари,с,
1180,Велес,417696,Горно Оризари,с,
1180,Велес,417777,Долно Каласлари,с,
1180,Велес,417785,Долно Оризари,с,
1180,Велес,417831,Иванковци,с,
1180,Велес,417866,Карабуњиште,с,
1180,Велес,417947,Крушје,с,
1180,Велес,417955,Кумарино,с,
1180,Велес,417980,Лугунци,с,
1180,Велес,417998,Мамутчево,с,
1180,Велес,418048,Новачани,с,
1180,Велес,418056,Ново Село,с,
1180,Велес,418129,Ораовец,с,
1180,Велес,418153,Отовица,с,
1180,Велес,418234,Раштани,с,
1180,Велес,418242,Рлевци,с,
1180,Велес,418269,Рудник,с,
1180,Велес,418307,С’лп,с,
1180,Велес,418293,Сливник,с,
1180,Велес,418331,Сојаклари,с,
1180,Велес,418340,Сопот,с,
1180,Велес,418447,Црквино,с,
1180,Велес,418455,Чалошево,с,
1180,Велес,418471,Џидимирци,с,
1201,Виница,402508,Блатец,с,
1201,Виница,402516,Виница,г,
1201,Виница,402524,Виничка Кршла,с,
1201,Виница,402532,Градец,с,
1201,Виница,402559,Грљани,с,
1201,Виница,402567,Драгобраште,с,
1201,Виница,402575,Истибања,с,
1201,Виница,402583,Јакимово,с,
1201,Виница,402591,Калиманци,с,
1201,Виница,402605,Крушево,с,
1201,Виница,402613,Лаки,с,
1201,Виница,402621,Лески,с,
1201,Виница,402630,Липец,с,
1201,Виница,402648,Пекљани,с,
1201,Виница,402656,Трсино,с,
1201,Виница,402664,Црн Камен,с,
1228,Вранештица,405817,Атишта,с,
1228,Вранештица,405850,Бигор Доленци,с,
1228,Вранештица,405906,Вранештица,с,
1228,Вранештица,406031,Дупјани,с,
1228,Вранештица,406155,Карбуница,с,
1228,Вранештица,406210,Козичино,с,
1228,Вранештица,406244,Крушица,с,
1228,Вранештица,406350,Миокази,с,
1228,Вранештица,406376,Орланци,с,
1228,Вранештица,406414,Патец,с,
1228,Вранештица,406490,Рабетино,с,
1228,Вранештица,406520,Речани - Челопечко,с,
1228,Вранештица,406538,Светораче,с,
1228,Вранештица,406589,Староец,с,
1228,Вранештица,406660,Челопеци,с,
1236,Врапчиште,403199,Врановци,с,
1236,Врапчиште,403202,Врапчиште,с,
1236,Врапчиште,403253,Галате,с,
1236,Врапчиште,403270,Горјане,с,
1236,Врапчиште,403326,Градец,с,
1236,Врапчиште,403369,Добри Дол,с,
1236,Врапчиште,403415,Ѓурѓевиште,с,
1236,Врапчиште,403466,Зубовце,с,
1236,Врапчиште,403482,Калиште,с,
1236,Врапчиште,403601,Ломница,с,
1236,Врапчиште,403652,Неготино - Полошко,с,
1236,Врапчиште,403717,Ново Село,с,
1236,Врапчиште,403768,Пожаране,с,
1236,Врапчиште,403857,Сенокос,с,
1236,Врапчиште,403954,Топлица,с,
1279,Гевгелија,402699,Богородица,с,
1279,Гевгелија,402702,Габрово,с,
1279,Гевгелија,402729,Гевгелија,г,
1279,Гевгелија,402737,Давидово,с,
1279,Гевгелија,402770,Кованци,с,
1279,Гевгелија,402788,Конско,с,
1279,Гевгелија,402800,Милетково,с,
1279,Гевгелија,402818,Миравци,с,
1279,Гевгелија,402826,Моин,с,
1279,Гевгелија,402834,Мрзенци,с,
1279,Гевгелија,402842,Негорци,с,
1279,Гевгелија,402885,Ново Коњско,с,
1279,Гевгелија,402907,Петрово,с,
1279,Гевгелија,402915,Прдејци,с,
1279,Гевгелија,402940,Серменин,с,
1279,Гевгелија,402958,Смоквица,с,
1279,Гевгелија,403016,Хума,с,
1287,Гостивар,403075,Балин Дол,с,
1287,Гостивар,403091,Беловиште,с,
1287,Гостивар,403148,Бродец,с,
1287,Гостивар,403245,Вруток,с,
1287,Гостивар,403288,Горна Бањица,с,
1287,Гостивар,403296,Горна Ѓоновица,с,
1287,Гостивар,403300,Горно Јеловце,с,
1287,Гостивар,403318,Гостивар,г,
1287,Гостивар,403342,Дебреше,с,
1287,Гостивар,403377,Долна Бањица,с,
1287,Гостивар,403385,Долна Ѓоновица,с,
1287,Гостивар,403393,Долно Јеловце,с,
1287,Гостивар,403423,Железна Река,с,
1287,Гостивар,403458,Здуње,с,
1287,Гостивар,403539,Корито,с,
1287,Гостивар,403555,Куново,с,
1287,Гостивар,403571,Лакавица,с,
1287,Гостивар,403598,Лешница,с,
1287,Гостивар,403636,Мало Турчане,с,
1287,Гостивар,419672,Мердита,с,
1287,Гостивар,403644,Митрој Крсти,с,
1287,Гостивар,403741,Падалиште,с,
1287,Гостивар,403750,Печково,с,
1287,Гостивар,403784,Равен,с,
1287,Гостивар,403792,Речане,с,
1287,Гостивар,403873,Симница,с,
1287,Гостивар,403890,Србиново,с,
1287,Гостивар,403911,Страјане,с,
1287,Гостивар,403920,Сушица,с,
1287,Гостивар,403997,Трново,с,
1287,Гостивар,404004,Тумчевиште,с,
1287,Гостивар,403504,Ќафа,с,
1287,Гостивар,404012,Форино,с,
1287,Гостивар,404047,Чајле,с,
1287,Гостивар,404055,Чегране,с,
1295,Градско,417572,Виничани,с,
1295,Градско,417629,Водоврати,с,
1295,Градско,417700,Горно Чичево,с,
1295,Градско,417718,Градско,с,
1295,Градско,417726,Грнчиште,с,
1295,Градско,417734,Двориште,с,
1295,Градско,417793,Долно Чичево,с,
1295,Градско,417823,Згрополци,с,
1295,Градско,417882,Кочилари,с,
1295,Градско,417963,Куридере,с,
1295,Градско,418072,Ногаевци,с,
1295,Градско,418188,Подлес,с,
1295,Градско,418277,Свеќани,с,
1295,Градско,418285,Скачинци,с,
1295,Градско,418404,Убого,с,
1295,Градско,418412,Уланци,с,
1309,Дебар,404080,Баниште,с,
1309,Дебар,404098,Бомово,с,
1309,Дебар,404136,Гари,с,
1309,Дебар,404179,Горно Косоврасти,с,
1309,Дебар,404195,Дебар,г,
1309,Дебар,404217,Долно Косоврасти,с,
1309,Дебар,404268,Коњари,с,
1309,Дебар,404292,Кривци,с,
1309,Дебар,404314,Могорче,с,
1309,Дебар,404349,Осој,с,
1309,Дебар,404365,Отишани,с,
1309,Дебар,404403,Рајчица,с,
1309,Дебар,404411,Селокуќи,с,
1309,Дебар,404420,Спас,с,
1309,Дебар,404438,Татар Елевци,с,
1309,Дебар,404446,Трнаниќ,с,
1309,Дебар,404454,Хаме,с,
1309,Дебар,404489,Џепиште,с,
1031,Дебарца,409952,Арбиново,с,
1031,Дебарца,409979,Белчишта,с,
1031,Дебарца,409987,Ботун,с,
1031,Дебарца,409995,Брежани,с,
1031,Дебарца,410047,Велмеј,с,
1031,Дебарца,410055,Волино,с,
1031,Дебарца,410063,Врбјани,с,
1031,Дебарца,410071,Годивје,с,
1031,Дебарца,410080,Горенци,с,
1031,Дебарца,410101,Горно Средоречие,с,
1031,Дебарца,410110,Грко Поле,с,
1031,Дебарца,410136,Долно Средоречие,с,
1031,Дебарца,410179,Злести,с,
1031,Дебарца,410187,Издеглавје,с,
1031,Дебарца,410195,Климештани,с,
1031,Дебарца,410233,Лактиње,с,
1031,Дебарца,410250,Лешани,с,
1031,Дебарца,410284,Мешеишта,с,
1031,Дебарца,410292,Мраморец,с,
1031,Дебарца,410306,Ново Село,с,
1031,Дебарца,410314,Оздолени,с,
1031,Дебарца,410357,Оровник,с,
1031,Дебарца,410373,Песочани,с,
1031,Дебарца,410489,Слатино,с,
1031,Дебарца,410497,Слатински Чифлик,с,
1031,Дебарца,410519,Сливово,с,
1031,Дебарца,410527,Сошани,с,
1031,Дебарца,410535,Требеништа,с,
1031,Дебарца,410551,Турје,с,
1031,Дебарца,410560,Црвена Вода,с,
1325,Делчево,404497,Бигла,с,
1325,Делчево,404519,Ветрен,с,
1325,Делчево,404527,Вирче,с,
1325,Делчево,404535,Вратиславци,с,
1325,Делчево,404543,Габрово,с,
1325,Делчево,404551,Град,с,
1325,Делчево,404560,Делчево,г,
1325,Делчево,404578,Драмче,с,
1325,Делчево,404594,Звегор,с,
1325,Делчево,404608,Илиово,с,
1325,Делчево,404624,Киселица,с,
1325,Делчево,404659,Косово Дабје,с,
1325,Делчево,404691,Нов Истевник,с,
1325,Делчево,404705,Очипала,с,
1325,Делчево,404713,Полето,с,
1325,Делчево,404721,Разловци,с,
1325,Делчево,404748,Селник,с,
1325,Делчево,404756,Стамер,с,
1325,Делчево,404764,Стар Истевник,с,
1325,Делчево,404799,Тработивиште,с,
1325,Делчево,404802,Турија,с,
1325,Делчево,404829,Чифлик,с,
1333,Демир Капија,409588,Барово,с,
1333,Демир Капија,409596,Бесвица,с,
1333,Демир Капија,409600,Бистренци,с,
1333,Демир Капија,409669,Демир Капија,г,
1333,Демир Капија,409685,Драчевица,с,
1333,Демир Капија,409693,Дрен,с,
1333,Демир Капија,409715,Иберли,с,
1333,Демир Капија,409740,Клисура,с,
1333,Демир Капија,409758,Копришница,с,
1333,Демир Капија,409766,Корешница,с,
1333,Демир Капија,409774,Кошарка,с,
1333,Демир Капија,409863,Прждево,с,
1333,Демир Капија,409871,Стрмашево,с,
1333,Демир Капија,409910,Челевец,с,
1333,Демир Капија,409928,Чифлик,с,
1341,Демир Хисар,404837,Бабино,с,
1341,Демир Хисар,404845,Базерник,с,
1341,Демир Хисар,404853,Бараково,с,
1341,Демир Хисар,404861,Белче,с,
1341,Демир Хисар,404870,Боиште,с,
1341,Демир Хисар,404888,Брезово,с,
1341,Демир Хисар,404896,Вардино,с,
1341,Демир Хисар,405884,Велмевци,с,
1341,Демир Хисар,404900,Вирово,с,
1341,Демир Хисар,404918,Големо Илино,с,
1341,Демир Хисар,404926,Граиште,с,
1341,Демир Хисар,404934,Демир Хисар,г,
1341,Демир Хисар,404942,Доленци,с,
1341,Демир Хисар,404969,Единаковци,с,
1341,Демир Хисар,404977,Жван,с,
1341,Демир Хисар,404985,Железнец,с,
1341,Демир Хисар,404993,Журче,с,
1341,Демир Хисар,405019,Загориче,с,
1341,Демир Хисар,405027,Зашле,с,
1341,Демир Хисар,408239,Кочиште,с,
1341,Демир Хисар,405035,Кутретино,с,
1341,Демир Хисар,405043,Лесково,с,
1341,Демир Хисар,405051,Мало Илино,с,
1341,Демир Хисар,405060,Мренога,с,
1341,Демир Хисар,405078,Ново Село,с,
1341,Демир Хисар,405086,Обедник,с,
1341,Демир Хисар,405094,Прибилци,с,
1341,Демир Хисар,405108,Радово,с,
1341,Демир Хисар,405116,Ракитница,с,
1341,Демир Хисар,408310,Растојца,с,
1341,Демир Хисар,405124,Света,с,
1341,Демир Хисар,405132,Сладуево,с,
1341,Демир Хисар,405159,Слепче,с,
1341,Демир Хисар,405167,Слоештица,с,
1341,Демир Хисар,405175,Смилево,с,
1341,Демир Хисар,405183,Сопотница,с,
1341,Демир Хисар,405191,Стругово,с,
1341,Демир Хисар,405205,Суво Грло,с,
1341,Демир Хисар,405213,Суводол,с,
1341,Демир Хисар,405221,Утово,с,
1341,Демир Хисар,405230,Церово,с,
2097,Дојран,402745,Дурутли,с,
2097,Дојран,402761,Ѓопчели,с,
2097,Дојран,402796,Куртамзали,с,
2097,Дојран,402869,Николиќ,с,
2097,Дојран,402877,Нов Дојран,с,
2097,Дојран,402893,Органџали,с,
2097,Дојран,402923,Севендекли,с,
2097,Дојран,402966,Сретеново,с,
2097,Дојран,402974,Стар Дојран,с,
2097,Дојран,403008,Фурка,с,
2097,Дојран,403024,Црничани,с,
2097,Дојран,403032,Чаушли,с,
2097,Дојран,403059,Џумабос,с,
1376,Долнени,410608,Бело Поле,с,
1376,Долнени,410675,Браилово,с,
1376,Долнени,410748,Вранче,с,
1376,Долнени,410837,Горно Село,с,
1376,Долнени,410845,Гостиражни,с,
1376,Долнени,410861,Дабјани,с,
1376,Долнени,410888,Дебреште,с,
1376,Долнени,410896,Десово,с,
1376,Долнени,410900,Долгаец,с,
1376,Долнени,410918,Долнени,с,
1376,Долнени,410934,Дреновци,с,
1376,Долнени,410969,Дупјачани,с,
1376,Долнени,410985,Жабјани,с,
1376,Долнени,408204,Житоше,с,
1376,Долнени,411019,Забрчани,с,
1376,Долнени,411035,Заполжани,с,
1376,Долнени,411043,Зрзе,с,
1376,Долнени,411116,Костинци,с,
1376,Долнени,411124,Кошино,с,
1376,Долнени,411183,Кутлешево,с,
1376,Долнени,411191,Лажани,с,
1376,Долнени,408255,Локвени,с,
1376,Долнени,411256,Мало Мраморани,с,
1376,Долнени,411299,Маргари,с,
1376,Долнени,411337,Небрегово,с,
1376,Долнени,411361,Новоселани,с,
1376,Долнени,411400,Пешталево,с,
1376,Долнени,411507,Рилево,с,
1376,Долнени,411515,Ропотово,с,
1376,Долнени,411523,Сарандиново,с,
1376,Долнени,411531,Секирци,с,
1376,Долнени,411558,Сенокос,с,
1376,Долнени,411574,Слепче,с,
1376,Долнени,411582,Сливје,с,
1376,Долнени,411612,Средорек,с,
1376,Долнени,411647,Стровија,с,
1376,Долнени,411701,Црнилиште,с,
1384,Другово,405833,Белица,с,
1384,Другово,405868,Брждани,с,
1384,Другово,405892,Видрани,с,
1384,Другово,405922,Големо Црско,с,
1384,Другово,405949,Горна Душегубица,с,
1384,Другово,405957,Горно Добреноец,с,
1384,Другово,405990,Долна Душегубица,с,
1384,Другово,406007,Долно Добреноец,с,
1384,Другово,406023,Другово,с,
1384,Другово,406040,Ехлоец,с,
1384,Другово,406074,Иванчишта,с,
1384,Другово,406082,Извор,с,
1384,Другово,406104,Јаворец,с,
1384,Другово,406147,Јудово,с,
1384,Другово,406171,Кладник,с,
1384,Другово,406180,Кленоец,с,
1384,Другово,406201,Козица,с,
1384,Другово,406252,Лавчани,с,
1384,Другово,406309,Малкоец,с,
1384,Другово,406317,Мало Црско,с,
1384,Другово,406333,Манастирско Доленци,с,
1384,Другово,406422,Подвис,с,
1384,Другово,406457,Попоец,с,
1384,Другово,406465,Пополжани,с,
1384,Другово,406481,Прострање,с,
1384,Другово,406546,Свињиште,с,
1384,Другово,406562,Србјани,с,
1384,Другово,406643,Цер,с,
1392,Желино,416649,Горна Лешница,с,
1392,Желино,416673,Групчин,с,
1392,Желино,416690,Добарце,с,
1392,Желино,416711,Долна Лешница,с,
1392,Желино,416754,Желино,с,
1392,Желино,416886,Копачин Дол,с,
1392,Желино,416908,Ларце,с,
1392,Желино,416932,Луковица,с,
1392,Желино,416967,Мерово,с,
1392,Желино,417025,Ново Село,с,
1392,Желино,417041,Озормиште,с,
1392,Желино,417076,Палатица,с,
1392,Желино,417203,Рогле,с,
1392,Желино,417220,Седларево,с,
1392,Желино,417335,Стримница,с,
1392,Желино,417378,Требош,с,
1392,Желино,417416,Церово,с,
1392,Желино,417432,Чифлик,с,
1414,Зајас,405825,Бачишта,с,
1414,Зајас,405876,Букојчани,с,
1414,Зајас,405965,Горно Строгомиште,с,
1414,Зајас,405973,Грешница,с,
1414,Зајас,405981,Длапкин Дол,с,
1414,Зајас,406015,Долно Строгомиште,с,
1414,Зајас,406066,Зајас,с,
1414,Зајас,406228,Колари,с,
1414,Зајас,406236,Колибари,с,
1414,Зајас,406287,Лешница,с,
1414,Зајас,406341,Мидинци,с,
1414,Зајас,406511,Речани - Зајаско,с,
1414,Зајас,406619,Тајмиште,с,
1422,Зелениково,414417,Вражале,с,
1422,Зелениково,414468,Градовци,с,
1422,Зелениково,414476,Гумалево,с,
1422,Зелениково,414484,Дејковец,с,
1422,Зелениково,414506,Добрино,с,
1422,Зелениково,414573,Зелениково,с,
1422,Зелениково,414646,Ново Село,с,
1422,Зелениково,414654,Орешани,с,
1422,Зелениково,414697,Пакошево,с,
1422,Зелениково,414719,Палиград,с,
1422,Зелениково,414760,Смесница,с,
1422,Зелениково,414794,Страхојадица,с,
1422,Зелениково,414816,Таор,с,
1422,Зелениково,414824,Тисовица,с,
1457,Зрновци,406724,Видовиште,с,
1457,Зрновци,406830,Зрновци,с,
1457,Зрновци,406937,Мородвис,с,
1473,Илинден,413704,Ајватовци,с,
1473,Илинден,413771,Бујковци,с,
1473,Илинден,413798,Бунарџик,с,
1473,Илинден,413801,Бучинци,с,
1473,Илинден,413844,Дељадровци,с,
1473,Илинден,413895,Илинден,с,
1473,Илинден,413917,Кадино,с,
1473,Илинден,413968,Марино,с,
1473,Илинден,413976,Миладиновци,с,
1473,Илинден,413992,Мралино,с,
1473,Илинден,414000,Мршевци,с,
1473,Илинден,414107,Текија,с,
1481,Јегуновце,416487,Беловиште,с,
1481,Јегуновце,416592,Вратница,с,
1481,Јегуновце,416789,Жилче,с,
1481,Јегуновце,416797,Јажинце,с,
1481,Јегуновце,416819,Јанчиште,с,
1481,Јегуновце,416827,Јегуновце,с,
1481,Јегуновце,416878,Копанце,с,
1481,Јегуновце,417050,Орашје,с,
1481,Јегуновце,417092,Подбреге,с,
1481,Јегуновце,417122,Прељубиште,с,
1481,Јегуновце,417173,Раотинце,с,
1481,Јегуновце,417181,Ратае,с,
1481,Јегуновце,417190,Рогачево,с,
1481,Јегуновце,417289,Сиричино,с,
1481,Јегуновце,417319,Старо Село,с,
1481,Јегуновце,417386,Туденце,с,
1481,Јегуновце,417467,Шемшево,с,
1490,Кавадарци,405248,Бегниште,с,
1490,Кавадарци,405256,Бојанчиште,с,
1490,Кавадарци,405264,Бохула,с,
1490,Кавадарци,405272,Брушани,с,
1490,Кавадарци,405299,Бунарче,с,
1490,Кавадарци,405302,Ваташа,с,
1490,Кавадарци,405329,Возарци,с,
1490,Кавадарци,405337,Галиште,с,
1490,Кавадарци,405345,Гарниково,с,
1490,Кавадарци,405353,Глишиќ,с,
1490,Кавадарци,405361,Горна Бошава,с,
1490,Кавадарци,405370,Грбовец,с,
1490,Кавадарци,405388,Дабниште,с,
1490,Кавадарци,405400,Добротино,с,
1490,Кавадарци,405418,Долна Бошава,с,
1490,Кавадарци,405426,Драгожел,с,
1490,Кавадарци,405434,Драдња,с,
1490,Кавадарци,405442,Дреново,с,
1490,Кавадарци,405469,Кавадарци,г,
1490,Кавадарци,405485,Кесендре,с,
